EXAM SEATING ARRANGEMENT

(4961, 'ECE0100', 'A', 'A1', 1, 1)
(4962, 'CSE0124', 'A', 'A1', 1, 2)
(4963, 'CSE0306', 'A', 'A1', 1, 3)
(4964, 'CSE0254', 'A', 'A1', 1, 4)
(4965, 'CSE0171', 'A', 'A1', 2, 1)
(4966, 'ECE0116', 'A', 'A1', 2, 2)
(4967, 'ECE0002', 'A', 'A1', 2, 3)
(4968, 'ECE0223', 'A', 'A1', 2, 4)
(4969, 'ECE0378', 'A', 'A1', 3, 1)
(4970, 'ECE0492', 'A', 'A1', 3, 2)
(4971, 'ECE0030', 'A', 'A1', 3, 3)
(4972, 'CSE0597', 'A', 'A1', 3, 4)
(4973, 'CSE0415', 'A', 'A1', 4, 1)
(4974, 'ECE0152', 'A', 'A1', 4, 2)
(4975, 'ECE0015', 'A', 'A1', 4, 3)
(4976, 'CSE0085', 'A', 'A1', 4, 4)
(4977, 'ECE0304', 'A', 'A1', 5, 1)
(4978, 'CSE0132', 'A', 'A1', 5, 2)
(4979, 'ECE0027', 'A', 'A1', 5, 3)
(4980, 'CSE0664', 'A', 'A1', 5, 4)
(4981, 'ECE0347', 'A', 'A1', 6, 1)
(4982, 'ECE0058', 'A', 'A1', 6, 2)
(4983, 'CSE0661', 'A', 'A1', 6, 3)
(4984, 'CSE0336', 'A', 'A1', 6, 4)
(4985, 'CSE0650', 'A', 'A1', 7, 1)
(4986, 'CSE0230', 'A', 'A1', 7, 2)
(4987, 'CSE0182', 'A', 'A1', 7, 3)
(4988, 'CSE0499', 'A', 'A1', 7, 4)
(4989, 'CSE0298', 'A', 'A1', 8, 1)
(4990, 'CSE0398', 'A', 'A1', 8, 2)
(4991, 'CSE0322', 'A', 'A1', 8, 3)
(4992, 'ECE0368', 'A', 'A1', 8, 4)
(4993, 'ECE0462', 'A', 'A1', 9, 1)
(4994, 'CSE0037', 'A', 'A1', 9, 2)
(4995, 'ECE0057', 'A', 'A1', 9, 3)
(4996, 'CSE0489', 'A', 'A1', 9, 4)
(4997, 'CSE0324', 'A', 'A1', 10, 1)
(4998, 'CSE0079', 'A', 'A1', 10, 2)
(4999, 'ECE0288', 'A', 'A1', 10, 3)
(5000, 'CSE0163', 'A', 'A1', 10, 4)
(5001, 'ECE0007', 'A', 'A2', 1, 1)
(5002, 'CSE0211', 'A', 'A2', 1, 2)
(5003, 'CSE0141', 'A', 'A2', 1, 3)
(5004, 'ECE0468', 'A', 'A2', 1, 4)
(5005, 'CSE0510', 'A', 'A2', 2, 1)
(5006, 'CSE0649', 'A', 'A2', 2, 2)
(5007, 'CSE0234', 'A', 'A2', 2, 3)
(5008, 'ECE0471', 'A', 'A2', 2, 4)
(5009, 'ECE0286', 'A', 'A2', 3, 1)
(5010, 'ECE0112', 'A', 'A2', 3, 2)
(5011, 'ECE0071', 'A', 'A2', 3, 3)
(5012, 'CSE0696', 'A', 'A2', 3, 4)
(5013, 'CSE0233', 'A', 'A2', 4, 1)
(5014, 'CSE0126', 'A', 'A2', 4, 2)
(5015, 'ECE0480', 'A', 'A2', 4, 3)
(5016, 'ECE0375', 'A', 'A2', 4, 4)
(5017, 'CSE0179', 'A', 'A2', 5, 1)
(5018, 'CSE0410', 'A', 'A2', 5, 2)
(5019, 'CSE0152', 'A', 'A2', 5, 3)
(5020, 'ECE0467', 'A', 'A2', 5, 4)
(5021, 'CSE0474', 'A', 'A2', 6, 1)
(5022, 'CSE0057', 'A', 'A2', 6, 2)
(5023, 'ECE0418', 'A', 'A2', 6, 3)
(5024, 'ECE0359', 'A', 'A2', 6, 4)
(5025, 'CSE0056', 'A', 'A2', 7, 1)
(5026, 'CSE0522', 'A', 'A2', 7, 2)
(5027, 'ECE0322', 'A', 'A2', 7, 3)
(5028, 'ECE0194', 'A', 'A2', 7, 4)
(5029, 'ECE0434', 'A', 'A2', 8, 1)
(5030, 'ECE0078', 'A', 'A2', 8, 2)
(5031, 'ECE0261', 'A', 'A2', 8, 3)
(5032, 'ECE0191', 'A', 'A2', 8, 4)
(5033, 'CSE0404', 'A', 'A2', 9, 1)
(5034, 'ECE0192', 'A', 'A2', 9, 2)
(5035, 'ECE0272', 'A', 'A2', 9, 3)
(5036, 'CSE0252', 'A', 'A2', 9, 4)
(5037, 'CSE0616', 'A', 'A2', 10, 1)
(5038, 'CSE0619', 'A', 'A2', 10, 2)
(5039, 'ECE0415', 'A', 'A2', 10, 3)
(5040, 'CSE0458', 'A', 'A2', 10, 4)
(5041, 'ECE0439', 'A', 'A3', 1, 1)
(5042, 'ECE0263', 'A', 'A3', 1, 2)
(5043, 'CSE0203', 'A', 'A3', 1, 3)
(5044, 'ECE0241', 'A', 'A3', 1, 4)
(5045, 'CSE0377', 'A', 'A3', 2, 1)
(5046, 'ECE0224', 'A', 'A3', 2, 2)
(5047, 'ECE0490', 'A', 'A3', 2, 3)
(5048, 'CSE0347', 'A', 'A3', 2, 4)
(5049, 'ECE0443', 'A', 'A3', 3, 1)
(5050, 'ECE0244', 'A', 'A3', 3, 2)
(5051, 'CSE0471', 'A', 'A3', 3, 3)
(5052, 'ECE0184', 'A', 'A3', 3, 4)
(5053, 'ECE0033', 'A', 'A3', 4, 1)
(5054, 'CSE0266', 'A', 'A3', 4, 2)
(5055, 'ECE0117', 'A', 'A3', 4, 3)
(5056, 'CSE0055', 'A', 'A3', 4, 4)
(5057, 'CSE0416', 'A', 'A3', 5, 1)
(5058, 'ECE0080', 'A', 'A3', 5, 2)
(5059, 'ECE0477', 'A', 'A3', 5, 3)
(5060, 'CSE0523', 'A', 'A3', 5, 4)
(5061, 'ECE0460', 'A', 'A3', 6, 1)
(5062, 'CSE0524', 'A', 'A3', 6, 2)
(5063, 'CSE0283', 'A', 'A3', 6, 3)
(5064, 'ECE0363', 'A', 'A3', 6, 4)
(5065, 'CSE0080', 'A', 'A3', 7, 1)
(5066, 'ECE0055', 'A', 'A3', 7, 2)
(5067, 'ECE0242', 'A', 'A3', 7, 3)
(5068, 'ECE0449', 'A', 'A3', 7, 4)
(5069, 'CSE0106', 'A', 'A3', 8, 1)
(5070, 'CSE0127', 'A', 'A3', 8, 2)
(5071, 'CSE0309', 'A', 'A3', 8, 3)
(5072, 'ECE0148', 'A', 'A3', 8, 4)
(5073, 'ECE0337', 'A', 'A3', 9, 1)
(5074, 'CSE0009', 'A', 'A3', 9, 2)
(5075, 'ECE0119', 'A', 'A3', 9, 3)
(5076, 'CSE0304', 'A', 'A3', 9, 4)
